School Year,ATS System Code,Location Code,Location Name,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Principal Name,Principal Title,Principal Email,Principal Phone Number,Fax Number,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,Superintendent,Superintendent Location Code,Superintendent Email,Community School Sup Name,Community School Sup Email,BFSC Location Code,BFSC Director Name,BFSC Director Title,BFSC Director Phone,BFSC Director Email,HighSchool Network Location Code,HighSchool Network Name,HighSchool Network Superintendent,HighSchool Network Superintendent Email,PROSE SCHOOL,X Coordinate,Y Coordinate,Latitude,Longitude
2015-16,01M184,M184,P.S. 184m Shuang Wen,310100010184,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",01/01/36333,Open,M137,327 CHERRY STREET,MANHATTAN,NY,10002,Iris Chiu,PRINCIPAL,IChiu@schools.nyc.gov,212-602-9700,212-602-9710,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,988287,198359,40.711125,-73.985438
2015-16,01M188,M188,P.S. 188 The Island School,310100010188,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",01/01/1644,Open,M188,442 EAST HOUSTON STREET,MANHATTAN,NY,10002,Suany Ramos,PRINCIPAL,SRamos4@schools.nyc.gov,212-677-5710,212-228-3007,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,990520,201552,40.719888,-73.97738
2015-16,01M292,M292,Henry Street School for International Studies,310100011292,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",01/01/38238,Open,M056,220 HENRY STREET,MANHATTAN,NY,10002,CHRISTINE LOUGHLIN,PRINCIPAL,CLoughl@schools.nyc.gov,212-406-9411,212-406-9417,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,988117,199174,40.713362,-73.986051
2015-16,01M301,M301,"Technology, Arts, and Sciences Studio",310100010301,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",01/01/38534,Open,M019,185 1 AVENUE,MANHATTAN,NY,10003,GEORGE MORGAN,PRINCIPAL,GMorgan@schools.nyc.gov,212-982-1836,212-982-0528,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,988547,205239,40.730009,-73.984496
2015-16,01M315,M315,The East Village Community School,310100010315,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/36342,Open,M061,610 EAST 12 STREET,MANHATTAN,NY,10009,Bradley Goodman,PRINCIPAL,BGoodma4@schools.nyc.gov,212-982-0682,212-260-4012,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,990277,204339,40.727537,-73.978254
2015-16,01M332,M332,University Neighborhood Middle School,310100010332,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",01/01/38243,Open,M056,220 HENRY STREET,MANHATTAN,NY,10002,LAURA PEYNADO CASTRO,PRINCIPAL,LPeynad@schools.nyc.gov,212-267-5701,212-349-8224,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,988117,199174,40.713362,-73.986051
2015-16,01M345,M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",310100010345,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",01/01/38899,Open,M056,220 HENRY STREET,MANHATTAN,NY,10002,ANTHONY CHIANESE,I.A. PRINCIPAL,AChiane@schools.nyc.gov,212-227-0762,212-577-9785,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,988117,199174,40.713362,-73.986051
2015-16,01M361,M361,The Children's Workshop School,310100010361,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",01/01/36342,Open,M061,610 EAST 12 STREET,MANHATTAN,NY,10009,MARIA VELEZ CLARKE,PRINCIPAL,Mvelez4@schools.nyc.gov,212-614-9531,212-614-9462,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,990277,204339,40.727537,-73.978254
2015-16,01M363,M363,Neighborhood School,310100010363,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/36342,Open,M063,121 EAST 3 STREET,MANHATTAN,NY,10009,Dyanthe Spielberg,PRINCIPAL,DSpielberg@schools.nyc.gov,212-387-0195,212-387-0198,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,Y,988071,203210,40.72444,-73.986214
2015-16,01M364,M364,Earth School,310100010364,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/36342,Open,M064,600 EAST 6 STREET,MANHATTAN,NY,10009,ABBE FUTTERMAN,PRINCIPAL,AFutterman2@schools.nyc.gov,212-477-1735,212-477-2396,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,Y,989351,202733,40.72313,-73.981597
2015-16,01M378,M378,School for Global Leaders,310100010378,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",01/01/39630,Open,M025,145 STANTON STREET,MANHATTAN,NY,10002,CARRY CHAN,PRINCIPAL,CChan2@schools.nyc.gov,212-260-5375,212-260-7386,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,988120,201607,40.72004,-73.986038
2015-16,01M448,M448,University Neighborhood High School,310100011448,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",01/01/36315,Open,M446,200 MONROE STREET,MANHATTAN,NY,10002,Elizabeth Collins,PRINCIPAL,ECollin4@schools.nyc.gov,212-962-4341,212-267-5611,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"BRADBURY, MARISOL",HS04,MBradbu@schools.nyc.gov,,,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,988650,198776,40.712269,-73.984128
2015-16,01M450,M450,East Side Community School,310100011450,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",01/01/35221,Open,M060,420 EAST 12 STREET,MANHATTAN,NY,10009,MARK FEDERMAN,PRINCIPAL,MFederm@schools.nyc.gov,212-460-8467,212-260-9657,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PELLES, KATHY",HS12,KPelles@schools.nyc.gov,,,AFSA,"ANORMALIZA, ALEXANDRA",BFSC Director,718-935-5618,AAnorma@schools.nyc.gov,,,,,Y,989108,204927,40.729152,-73.982472
2015-16,01M458,M458,Forsyth Satellite Academy,310100011458,DOE,Transfer School,High school,"09,10,11,12,SE","09,10,11,12",01/01/40360,Open,M510,198 FORSYTH STREET,MANHATTAN,NY,10002,Ingrid Roberts Haynes,PRINCIPAL,IRobert4@schools.nyc.gov,212-677-8900,212-260-3063,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PELLES, KATHY",HS12,KPelles@schools.nyc.gov,,,AFSA,"ANORMALIZA, ALEXANDRA",BFSC Director,718-935-5618,AAnorma@schools.nyc.gov,,,,,N,986892,202472,40.722415,-73.990468
2015-16,01M509,M509,Marta Valle High School,310100011509,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",01/01/35221,Open,M025,145 STANTON STREET,MANHATTAN,NY,10002,Steven Aragona,I.A. PRINCIPAL,SAragona@schools.nyc.gov,212-473-8152,212-475-7588,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"BRADBURY, MARISOL",HS04,MBradbu@schools.nyc.gov,,,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,988120,201607,40.72004,-73.986038
2015-16,01M515,M515,Lower East Side Preparatory High School,310100011515,DOE,Transfer School,High school,"10,11,12","09,10,11,12",01/01/35221,Open,M025,145 STANTON STREET,MANHATTAN,NY,10002,MARTHA POLIN,PRINCIPAL,MPolin@schools.nyc.gov,212-505-6366,212-260-0813,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"ROBINSON, LASHAWN",HS10,LRobinson5@schools.nyc.gov,,,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,988120,201607,40.72004,-73.986038
2015-16,01M539,M539,"New Explorations into Science, Technology and Math High School",310100011539,DOE,General Academic,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","0K,01,02,03,04,05,06,07,08,09,10,11,12",01/01/36708,Open,M022,111 COLUMBIA STREET,MANHATTAN,NY,10002,OLGA LIVANIS,PRINCIPAL,OLivani@schools.nyc.gov,212-677-5190,212-260-8124,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"BRADBURY, MARISOL",HS04,MBradbu@schools.nyc.gov,,,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,989910,201380,40.719416,-73.979581
2015-16,01M650,M650,Cascades High School,310100011650,DOE,Transfer School,High school,"09,10,11,12","09,10,11,12",01/01/35800,Open,M510,198 FORSYTH STREET,MANHATTAN,NY,10002,PAUL ROTONDO,PRINCIPAL,PRotond@schools.nyc.gov,646-654-1261,646-654-1742,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"ROBINSON, LASHAWN",HS10,LRobinson5@schools.nyc.gov,,,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,986892,202472,40.722415,-73.990468
2015-16,01M696,M696,Bard High School Early College,310100011696,DOE,General Academic,High school,"09,10,11,12","09,10,11,12",01/01/37073,Open,M097,525 EAST HOUSTON STREET,MANHATTAN,NY,10002,MICHAEL LERNER,PRINCIPAL,MLerner3@schools.nyc.gov,212-995-8479,212-777-4702,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"BRADBURY, MARISOL",HS04,MBradbu@schools.nyc.gov,,,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,Y,990877,200965,40.718276,-73.976093
2015-16,01M839,M839,Tompkins Square Middle School,310100010839,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",01/01/37073,Open,M064,600 EAST 6 STREET,MANHATTAN,NY,10009,SONHANDO ESTWICK,PRINCIPAL,SEstwic@schools.nyc.gov,212-995-1430,212-979-1341,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",M801,DPhilli@schools.nyc.gov,"PHILLIPS, DANIELLA",DPhilli@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,Y,989351,202733,40.72313,-73.981597
2015-16,02M001,M001,P.S. 001 Alfred E. Smith,310200010001,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/07/0548,Open,M001,8 HENRY STREET,MANHATTAN,NY,10038,AMY HOM,PRINCIPAL,AHom@schools.nyc.gov,212-267-4133,212-267-4469,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,blaboy@schools.nyc.gov,"LABOY, BONNIE",blaboy@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,984949,198878,40.71255,-73.997478
2015-16,02M002,M002,P.S. 002 Meyer London,310200010002,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/21367,Open,M002,122 HENRY STREET,MANHATTAN,NY,10002,Bessie Ng,PRINCIPAL,BNg2@schools.nyc.gov,212-964-0350,212-608-4080,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,blaboy@schools.nyc.gov,"LABOY, BONNIE",blaboy@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,986600,199008,40.712907,-73.991523
2015-16,02M003,M003,P.S. 003 Charrette School,310200010003,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/2009,Open,M003,490 HUDSON STREET,MANHATTAN,NY,10014,LISA SIEGMAN,PRINCIPAL,LSiegma@schools.nyc.gov,212-691-1183,212-675-5306,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,blaboy@schools.nyc.gov,"LABOY, BONNIE",blaboy@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,982601,206184,40.732603,-74.005949
2015-16,02M006,M006,P.S. 006 Lillie D. Blake,310200010006,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",01/01/19541,Open,M006,45 EAST 81 STREET,MANHATTAN,NY,10028,LAUREN FONTANA,PRINCIPAL,LFontana@schools.nyc.gov,212-737-9774,212-772-8669,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,blaboy@schools.nyc.gov,"LABOY, BONNIE",blaboy@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,995210,222630,40.777737,-73.960427
2015-16,02M011,M011,P.S. 011 William T. Harris,310200010011,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/9314,Open,M011,320 WEST 21 STREET,MANHATTAN,NY,10011,ROBERT BENDER,PRINCIPAL,RBender2@schools.nyc.gov,212-929-1743,212-989-7816,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,blaboy@schools.nyc.gov,"LABOY, BONNIE",blaboy@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,984044,210404,40.744186,-74.000743
2015-16,02M033,M033,P.S. 033 Chelsea Prep,310200010033,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/18810,Open,M033,281 9 AVENUE,MANHATTAN,NY,10001,Chingchien Wang,I.A. PRINCIPAL,CWang@schools.nyc.gov,212-244-6426,212-629-6893,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,blaboy@schools.nyc.gov,"LABOY, BONNIE",blaboy@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,984184,212163,40.749014,-74.000238
2015-16,02M040,M040,P.S. 040 Augustus Saint-Gaudens,310200010040,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/04/0183,Open,M040,319 EAST 19 STREET,MANHATTAN,NY,10003,SUSAN FELDER,PRINCIPAL,SFelder@schools.nyc.gov,212-475-5500,212-533-5388,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,blaboy@schools.nyc.gov,"LABOY, BONNIE",blaboy@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,989367,207177,40.735328,-73.981536
2015-16,02M041,M041,P.S. 041 Greenwich Village,310200010041,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",01/01/21367,Open,M041,116 WEST 11 STREET,MANHATTAN,NY,10011,KELLY SHANNON,PRINCIPAL,KShanno@schools.nyc.gov,212-675-2756,212-924-0910,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,blaboy@schools.nyc.gov,"LABOY, BONNIE",blaboy@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,984501,207221,40.73545,-73.999094
2015-16,02M042,M042,P.S. 042 Benjamin Altman,310200010042,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",01/04/0183,Open,M042,71 HESTER STREET,MANHATTAN,NY,10002,May Lee,PRINCIPAL,MLee4@schools.nyc.gov,212-226-8410,212-431-7384,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,blaboy@schools.nyc.gov,"LABOY, BONNIE",blaboy@schools.nyc.gov,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,986793,200181,40.716126,-73.990826
2015-16,02M047,M047,47 The American Sign Language and English Secondary School,310200010047,DOE,Special Education,High school,"09,10,11,12,SE","09,10,11,12,SE",01/01/3105,Open,M047,223 EAST 23 STREET,MANHATTAN,NY,10010,WATFA SHAMA,PRINCIPAL,wshama@schools.nyc.gov,917-326-6668,917-326-6688,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"BRADBURY, MARISOL",HS04,MBradbu@schools.nyc.gov,,,MFSC,"CHU, YUET",BFSC Director,646-470-0721,YChu@schools.nyc.gov,,,,,N,989424,208287,40.738374,-73.981329
